Id,Name,Surname,City,OfficialEmail,Birthday,SSN
900041,Timotea,Trentino,Castel Bolognese,s900041@students.politu.it,12/04/1992,IV27449936
900042,Elisa,Loggia,Varoni,s900042@students.politu.it,01/05/1992,BP4994203
900043,Umberto,Romano,Refrancore,s900043@students.politu.it,02/05/1992,ZX31868628
900044,Publio,Onio,Santa Lucia Di Noto,s900044@students.politu.it,02/05/1992,BG31618917
900045,Manuela,Trevisani,Orbignano,s900045@students.politu.it,08/05/1992,IP56674639
900046,Fausta,Davide,Racconigi,s900046@students.politu.it,08/05/1992,UC53047843
900047,Rina,Pirozzi,Filattiera,s900047@students.politu.it,08/05/1992,SJ76802775
900048,Dionisio,DeRose,Villa San Secondo,s900048@students.politu.it,12/05/1992,DI69430625
900049,Eulalia,Romano,Limosano,s900049@students.politu.it,12/05/1992,NR88994455
900050,Sandra,Monaldo,Tarvisio,s900050@students.politu.it,03/06/1992,NK57550357
900051,Tancredi,Piazza,Pra,s900051@students.politu.it,03/06/1992,VY0402908
900052,Carlo,Nucci,Fogliano,s900052@students.politu.it,06/06/1992,UQ90722068
900053,Annabella,Calabresi,Castello D'Argile,s900053@students.politu.it,06/06/1992,VB2571179
900054,Ugo,Beneventi,Vernazza,s900054@students.politu.it,10/06/1992,JK26608656
900055,Ludovica,Buccho,Sordevolo,s900055@students.politu.it,11/06/1992,EX8861942
900056,Assunta,Barese,Donnici Superiore,s900056@students.politu.it,12/06/1992,JT97333498
900057,Venanzio,Colombo,Bitritto,s900057@students.politu.it,01/07/1992,IP32785335
900058,Berenice,Baresi,Campiglia Dei Berici,s900058@students.politu.it,04/07/1992,KD38647323
900059,Carisio,Onio,Collina Santa Maria Nuova,s900059@students.politu.it,07/07/1992,CH78857678
900060,Fedra,Manna,Pescara,s900060@students.politu.it,07/07/1992,IQ68390127
900061,Basso,Boni,Schierano,s900061@students.politu.it,08/07/1992,XL19383800
900062,Nunzia,Angelo,Mergo,s900062@students.politu.it,08/07/1992,KH68623045
900063,Amerigo,Padovano,Bocenago,s900063@students.politu.it,09/07/1992,LM42105470
900064,Taziana,Milani,Mereto Di Tomba,s900064@students.politu.it,09/07/1992,GN28340484
900065,Gaudenzia,Udinese,Girasole,s900065@students.politu.it,10/07/1992,PN91450957
900066,Sante,Napolitano,Azzanello,s900066@students.politu.it,11/07/1992,GN49080117
900067,Valente,Esposito,Sant'Angelo All'Esca,s900067@students.politu.it,05/08/1992,XL28010317
900068,Irmina,Costa,Corneliano D'Alba,s900068@students.politu.it,05/08/1992,OM63962414
900069,Isacco,Trevisan,Strada,s900069@students.politu.it,06/08/1992,DS75210454
900070,Nicla,Sabbatini,Passirano,s900070@students.politu.it,07/08/1992,BH69632649
900071,Flavia,Arcuri,Prignano Sulla Secchia,s900071@students.politu.it,08/08/1992,QJ10220192
900072,Alvaro,Castiglione,Castellar Guidobono,s900072@students.politu.it,12/08/1992,GA75985557
900073,Ivano,Toscano,Marzocca Di Senigallia,s900073@students.politu.it,01/10/1992,RX76527565
900074,Silvano,De Luca,Fiondi,s900074@students.politu.it,01/10/1992,AH58299986
900075,Enrica,Mazzi,Cabras,s900075@students.politu.it,02/10/1992,PA70354356
900076,Primo,Lori,Faggiano,s900076@students.politu.it,04/10/1992,RB55491840
900077,Crescente,Mazzanti,Cocconato,s900077@students.politu.it,05/10/1992,UJ3098251
900078,Baldassarre,Barese,Motta Di Livenza,s900078@students.politu.it,09/10/1992,DN97607011
900079,Mauro,Giordano,Marti,s900079@students.politu.it,09/10/1992,HT49049033
900080,Ambrogino,Lombardi,Quarto Inferiore,s900080@students.politu.it,11/10/1992,ZI88925063
900081,Ciro,Toscani,San Donato In Poggio,s900081@students.politu.it,12/10/1992,YZ73784033
900082,Ortensio,Lucciano,Fraine,s900082@students.politu.it,12/10/1992,UB86934664
900083,Fiammetta,Pisani,Moio De' Calvi,s900083@students.politu.it,04/11/1992,CX52187968
900084,Fulvia,Li Fonti,San Fermo,s900084@students.politu.it,04/11/1992,QT87903368
900085,Terenzio,Baresi,Borgo Flora,s900085@students.politu.it,06/11/1992,XC18652805
900086,Morgana,Greco,Bolognetta,s900086@students.politu.it,08/11/1992,FQ59780882
900087,Urbano,Trevisano,San Nicola,s900087@students.politu.it,08/11/1992,KQ60463870
900088,Andrea,Lucchesi,Tret,s900088@students.politu.it,10/11/1992,IA49661344
900089,Gioacchina,Romani,Il Castagno Val D'Elsa,s900089@students.politu.it,12/11/1992,JE92824155
900090,Corrado,Romano,Marina Di Ascea,s900090@students.politu.it,03/12/1992,YL55291190
900091,Smeralda,Trevisan,Calderara Di Reno,s900091@students.politu.it,06/12/1992,HJ63925425
900092,Neera,Longo,Acquarola,s900092@students.politu.it,06/12/1992,TB46317566
900093,Tranquillo,Schiavone,Spineto Scrivia,s900093@students.politu.it,06/12/1992,BR34007303
900094,Ernesto,Li Fonti,Ponte Delle Arche,s900094@students.politu.it,06/12/1992,OS15937757
900095,Mattia,Siciliani,Vendone,s900095@students.politu.it,08/12/1992,VC46508505
900096,Ave,Boni,Tavoleto,s900096@students.politu.it,09/12/1992,XZ45899753
900097,Vittoria,Lori,Asigliano Vercellese,s900097@students.politu.it,10/12/1992,FC92846977
900098,Ermenegildo,Onio,Torino,s900098@students.politu.it,10/12/1992,RE35808260
900099,Geraldina,Manfrin,Napoli,s900099@students.politu.it,01/01/1993,NO95184649
900100,Beniamino,Sabbatini,Rocca Santa Maria,s900100@students.politu.it,02/01/1993,NS17082530
900101,Artemia,Cocci,Norbello,s900101@students.politu.it,03/01/1993,VF15393793
900102,Bruna,Udinese,Ricco,s900102@students.politu.it,04/01/1993,OC4081468
900103,Roberto,Padovano,Valle,s900103@students.politu.it,07/01/1993,QH86601222
900104,Teresa,Pisani,Ortodonico,s900104@students.politu.it,07/01/1993,JK6000634
900105,Ambrosino,Piazza,Marcedusa,s900105@students.politu.it,09/01/1993,VD33826062
900106,Michelangelo,Trentino,Ternate,s900106@students.politu.it,10/01/1993,CR87022472
900107,Severo,Genovesi,San Pancrazio Parmense,s900107@students.politu.it,11/01/1993,ZN58305235
900108,Annunziata,Endrizzi,Pignano,s900108@students.politu.it,02/02/1993,MG77789577
900109,Carmine,Genovesi,Filippa,s900109@students.politu.it,04/02/1993,SB61864927
900110,Pietro,Mazzi,Isola Morosini,s900110@students.politu.it,05/02/1993,SK70326947
900111,Liberata,Iadanza,Montechiarugolo,s900111@students.politu.it,06/02/1993,IO91515096
900112,Pantaleone,Baresi,Vallepietra,s900112@students.politu.it,06/02/1993,FP76894099
900113,Prudenzia,Baresi,San Sebastiano,s900113@students.politu.it,08/02/1993,SW0065518
900114,Aloisia,Fanucci,Muggiano,s900114@students.politu.it,08/02/1993,RN96914218
900115,Adolfa,Pagnotto,Cermenate,s900115@students.politu.it,10/02/1993,BO23533019
900116,Simone,Bianchi,Capodimonte,s900116@students.politu.it,12/02/1993,RA0225370
900117,Ludovica,Siciliano,Librizzi,s900117@students.politu.it,12/02/1993,CD92619931
900118,Aiace,Cocci,Tecchiena,s900118@students.politu.it,01/03/1993,OG10038448
900119,Ercole,Lombardo,Schiavonea,s900119@students.politu.it,01/03/1993,LV71378349
900120,Arrigo,Cremonesi,Bricherasio,s900120@students.politu.it,02/03/1993,EA83698768
900121,Pio,Siciliani,Pieve Albignola,s900121@students.politu.it,03/03/1993,RK10045656
900122,Doroteo,Moretti,Carrara San Giorgio,s900122@students.politu.it,04/03/1993,MI66979931
900123,Alberta,Milanesi,Castiglion Fibocchi,s900123@students.politu.it,05/03/1993,ED60518698
900124,Manuele,Padovano,Corva,s900124@students.politu.it,06/03/1993,HN49194748
900125,Luigina,Milani,Bernate,s900125@students.politu.it,08/03/1993,ER77743621
900126,Lorna,Toscano,Gallo,s900126@students.politu.it,10/03/1993,RV47270744
900127,Proserpio,Beneventi,Sant'Angelo Di Avigliano,s900127@students.politu.it,10/03/1993,UN49453474
900128,Jolanda ,De Luca,Barigazzo,s900128@students.politu.it,11/03/1993,UU73164699
900129,Gianleone,Dellucci,Calvisano,s900129@students.politu.it,01/04/1993,PJ67253533
900130,Ivone,Endrizzi,Roccasecca Dei Volsci,s900130@students.politu.it,02/04/1993,PB51556754
900131,Tullia,Nucci,Villa Verde,s900131@students.politu.it,02/04/1993,UW27299303
900132,Pupa,Esposito,Eraclea Mare,s900132@students.politu.it,06/04/1993,YC17632113
900133,Cristiano,Fiorentini,Bastardo,s900133@students.politu.it,06/04/1993,GR40646913
900134,Azelio,Zetticci,San Lorenzo Di Santi Cosma E Damiano,s900134@students.politu.it,06/04/1993,TZ58161901
900135,Giulio,Pisani,Marnate,s900135@students.politu.it,08/04/1993,PD41505277
900136,Venera,Ferri,Borgo San Pietro,s900136@students.politu.it,08/04/1993,MT87936544
900137,Cirillo,Manna,Santa Mama,s900137@students.politu.it,11/04/1993,LX8110059
900138,Angela,Sal,Canino,s900138@students.politu.it,12/04/1993,SZ96002259
900139,Ubalda ,DeRose,Mondovi,s900139@students.politu.it,02/05/1993,BE32027180
900140,Noemi,Calabrese,Certosa Di Pavia,s900140@students.politu.it,02/05/1993,JO13665443
900141,Elsa,Fallaci,San Lugano,s900141@students.politu.it,04/05/1993,LI69925584
900142,Sebastiano,Romano,Milena,s900142@students.politu.it,04/05/1993,GY30777317
900143,Pia,Greece,San Fruttuoso,s900143@students.politu.it,05/05/1993,YT77081767
900144,Norberto,Rossi,Arvier,s900144@students.politu.it,05/05/1993,YW82888517
900145,Tiziana,Loggia,Montano Lucino,s900145@students.politu.it,05/05/1993,DK29454141
900146,Cirillo,Milano,Sismano,s900146@students.politu.it,05/05/1993,JW13996705
900147,Lino,Pisano,Brazzolo,s900147@students.politu.it,06/05/1993,ZX50148380
900148,Emanuela,Marchesi,Bigarello,s900148@students.politu.it,09/05/1993,IO98260520
900149,Genoveffa,Manfrin,Dazio,s900149@students.politu.it,11/05/1993,BJ51847238
900150,Camelia,Calabrese,Capri Leone,s900150@students.politu.it,12/05/1993,LB8719175
900151,Adelfo,Sagese,San Donato In Collina,s900151@students.politu.it,12/05/1993,SW11487641
900152,Ermanno,Greco,Calosso,s900152@students.politu.it,02/06/1993,VS46014876
900153,Rossana,Fiorentino,Rocca Canterano,s900153@students.politu.it,02/06/1993,GP98972275
900154,Leopoldo,Capon,Monteflavio,s900154@students.politu.it,03/06/1993,IL63494138
900155,Wilma,Genovesi,Grotti Di Borgorose,s900155@students.politu.it,06/06/1993,FE84129926
900156,Gustavo,Pisani,Niardo,s900156@students.politu.it,09/06/1993,DO9449966
900157,Lamberto,Lettiere,San Pierino,s900157@students.politu.it,12/06/1993,HH65618915
900158,Jole,Davide,Tadasuni,s900158@students.politu.it,01/07/1993,WF27591371
900159,Doda,Padovesi,Introbio,s900159@students.politu.it,05/07/1993,JD76467083
900160,Albino,Conti,Monticelli Terme Di Montechiarugolo,s900160@students.politu.it,06/07/1993,YP28167291
900161,Wilma,Schiavone,Alfianello,s900161@students.politu.it,07/07/1993,WR82658228
900162,Adele,Cocci,Bindo,s900162@students.politu.it,07/07/1993,MR69488703
900163,Geronima,Loggia,Villanova Santa Margherita,s900163@students.politu.it,11/07/1993,LQ65785450
900164,Quinzio,Bergamaschi,Poggio,s900164@students.politu.it,11/07/1993,LK51225759
900165,Landro,Ferri,Fraccano,s900165@students.politu.it,12/07/1993,BE30641110
900166,Oscar,Davide,Perugia,s900166@students.politu.it,01/08/1993,XW21296277
900167,Narciso,Romani,Folgaria,s900167@students.politu.it,03/08/1993,ME11140991
900168,Rachele ,Trevisan,Quargnento,s900168@students.politu.it,06/08/1993,AG55746637
900169,Editta,Giordano,Civita,s900169@students.politu.it,06/08/1993,WJ1358853
900170,Tarquinio,Toscani,Chiocchio,s900170@students.politu.it,10/08/1993,WJ94919980
900171,Concordia,Lucciano,Sogliano Al Rubicone,s900171@students.politu.it,11/08/1993,CA70651420
900172,Ermenegildo,Manfrin,Semproniano,s900172@students.politu.it,12/08/1993,AJ20501962
900173,Generosa,Trevisani,Morro Reatino,s900173@students.politu.it,01/09/1993,HZ30591702
900174,Eduardo,Trevisano,Ceserano,s900174@students.politu.it,02/09/1993,IG23816578
900175,Giuseppina,Endrizzi,Cereta,s900175@students.politu.it,02/09/1993,HR11204889
900176,Iolanda,Siciliani,Covolo,s900176@students.politu.it,03/09/1993,HX5273595
900177,Luisella,Gallo,Vico,s900177@students.politu.it,04/09/1993,SU75527621
900178,Giuliana,Dellucci,Azzano D'Asti,s900178@students.politu.it,05/09/1993,YT69484465
900179,Teodata,Davide,Excenex,s900179@students.politu.it,07/09/1993,VY97665782
900180,Medardo,Pugliesi,Pratola Peligna,s900180@students.politu.it,09/09/1993,JM60405495
900181,Massimiliano,Palerma,San Romano,s900181@students.politu.it,10/09/1993,FV41018818
900182,Vittorio,Gallo,Ciampino Aeroporto,s900182@students.politu.it,11/09/1993,EZ90123966
900183,Umberto,Padovano,Stella Di Monsanpolo,s900183@students.politu.it,12/09/1993,OI40943580
900184,Irma,Siciliano,San Rocco Al Porto,s900184@students.politu.it,12/09/1993,KM65213936
900185,Frida,Costa,Castel Di Lucio,s900185@students.politu.it,02/10/1993,GU67200793
900186,Silvio,Mazzanti,Lasa,s900186@students.politu.it,02/10/1993,PH78458421
900187,Alfonsa,Calabresi,Sini,s900187@students.politu.it,03/10/1993,BG77688308
900188,Ada,Moretti,Arpinova,s900188@students.politu.it,03/10/1993,NJ52303914
900189,Gherardo,Bergamaschi,Piano Del Voglio,s900189@students.politu.it,03/10/1993,DV5429629
900190,Immacolata,Trevisan,Albosaggia,s900190@students.politu.it,05/10/1993,GJ63696142
900191,Edgardo,Trevisani,Spigno Monferrato,s900191@students.politu.it,05/10/1993,KD16835325
900192,Ivo,Monaldo,Maliseti,s900192@students.politu.it,06/10/1993,XZ54642277
900193,Orlando,Lombardi,Calcarelli,s900193@students.politu.it,08/10/1993,AX93556854
900194,Teodata,Toscano,Isca Sullo Jonio,s900194@students.politu.it,09/10/1993,HT85973035
900195,Fidenzio,Castiglione,Termini Imerese,s900195@students.politu.it,09/10/1993,XR19457854
900196,Natale,Lucchesi,Terragnolo,s900196@students.politu.it,10/10/1993,YY59313475
900197,Christian,Cremonesi,Savelletri,s900197@students.politu.it,11/10/1993,YU6351956
900198,Rossana,Fanucci,Campitello Di Fassa,s900198@students.politu.it,12/10/1993,DI27572639
900199,Nilde,Bellucci,Cassina Rizzardi,s900199@students.politu.it,01/11/1993,KE73055565
900200,Bellina,Milani,Quercioli,s900200@students.politu.it,02/11/1993,MH92089337
900201,Ida ,Calabrese,Gambellara,s900201@students.politu.it,06/11/1993,YX63292792
900202,Quirino,Siciliano,Castello D'Argile,s900202@students.politu.it,06/11/1993,OP5105440
900203,Silvano,Fiorentini,Belmonte Del Sannio,s900203@students.politu.it,07/11/1993,ST22996692
900204,Violante,Calabrese,Magazzeno,s900204@students.politu.it,09/11/1993,FM45467027
900205,Odetta ,Lombardi,San Sebastiano Al Vesuvio,s900205@students.politu.it,10/11/1993,VB67474448
900206,Fabrizio,Monaldo,Amola Di Piano,s900206@students.politu.it,11/11/1993,AZ60215335
900207,Luigia,Russo,Cambiano,s900207@students.politu.it,01/12/1993,VO9496055
900208,Aurora,Ferri,Potassa,s900208@students.politu.it,02/12/1993,DR11603886
900209,Simone,Monaldo,Roncade,s900209@students.politu.it,03/12/1993,QZ74699436
900210,Lamberto,Lucciano,Torre Del Pozzo,s900210@students.politu.it,03/12/1993,QM69234378
900211,Doda,Marino,Uggiate Trevano,s900211@students.politu.it,03/12/1993,SQ53509930
900212,Giuditta,Manfrin,Giarole,s900212@students.politu.it,04/12/1993,WP79253367
900213,Genoveffa,Pisani,Pissatola,s900213@students.politu.it,06/12/1993,JD96964674
900214,Wanda ,Colombo,Spirano,s900214@students.politu.it,07/12/1993,EE14062861
900215,Patrizio,Boni,Noha,s900215@students.politu.it,08/12/1993,ZC0317229
900216,Ilaria,Greece,Cordovado,s900216@students.politu.it,10/12/1993,EQ89689580
900217,Vera,Greece,Epinel,s900217@students.politu.it,12/12/1993,AS31455897
900218,Agnese,Bruno,Montagnana,s900218@students.politu.it,05/01/1994,PY8921062
900219,Cristian,Siciliani,Mandatoriccio,s900219@students.politu.it,06/01/1994,BK22416614
900220,Carola,Mazzanti,Brembate Di Sopra,s900220@students.politu.it,09/01/1994,PG39774841
900221,Abelardo,Bergamaschi,Loreto Aprutino,s900221@students.politu.it,09/01/1994,EW10862450
900222,Delmina,Pagnotto,Mombaroccio,s900222@students.politu.it,10/01/1994,UX96132395
900223,Chiara,Pirozzi,Travedona Monate,s900223@students.politu.it,11/01/1994,DE33943956
900224,Norberto,Pisano,Isola Dovarese,s900224@students.politu.it,12/01/1994,PX17287868
900225,Giulia,Cattaneo,Bologna,s900225@students.politu.it,12/01/1994,JI19130629
900226,Lucilla,Mazzanti,Pontecagnano,s900226@students.politu.it,02/02/1994,EF18264159
900227,Santo,Ferrari,Cereta,s900227@students.politu.it,02/02/1994,WP95064289
900228,Carmine,Napolitano,Perugia,s900228@students.politu.it,03/02/1994,MD4412780
900229,Guglielmo,Bellucci,Pescate,s900229@students.politu.it,05/02/1994,RJ23499050
900230,Roberta,Lucchesi,Baricetta,s900230@students.politu.it,06/02/1994,OI74533248
900231,Bonacata,Milani,Casiacco,s900231@students.politu.it,06/02/1994,ET76729916
900232,Bonacata,Nucci,Forcola,s900232@students.politu.it,07/02/1994,SL42924192
900233,Celso,Rossi,Cirella,s900233@students.politu.it,09/02/1994,FS58719862
900234,Vittoria,Padovano,Tavernelle Vicentina,s900234@students.politu.it,10/02/1994,AX87121226
900235,Luigi,Ricci,Rodengo Saiano,s900235@students.politu.it,10/02/1994,EZ57094303
900236,Marcella,Zito,Giavera Del Montello,s900236@students.politu.it,11/02/1994,IS85131896
900237,Proserpio,Trevisan,Curinga,s900237@students.politu.it,12/02/1994,JJ63806603
900238,Carolina,Rizzo,Sermoneta,s900238@students.politu.it,01/03/1994,SX0352472
900239,Cordelia,Sabbatini,Cana,s900239@students.politu.it,02/03/1994,IU95814704
900240,Uberto,Milano,Siponto,s900240@students.politu.it,07/03/1994,ST7367803
900241,Adele,Fiorentini,Misilmeri,s900241@students.politu.it,07/03/1994,TS89736828
900242,Facino,Conti,Torsa Di Pocenia,s900242@students.politu.it,11/03/1994,KA51259917
900243,Emma,Fanucci,Villaverla,s900243@students.politu.it,11/03/1994,BU82602785
900244,Aurora,Ferri,Triponzo,s900244@students.politu.it,11/03/1994,EB67911338
900245,Italo,Romani,Cotronei,s900245@students.politu.it,04/04/1994,BP29747207
900246,Leda,Boni,Soncino,s900246@students.politu.it,04/04/1994,BQ3912675
900247,Berardo,De Luca,Cerri,s900247@students.politu.it,04/04/1994,QK86758409
900248,Mafalda,Manfrin,Torrazza Coste,s900248@students.politu.it,06/04/1994,OS25494085
900249,Gaetano,Manfrin,Marrubiu,s900249@students.politu.it,08/04/1994,DS8538255
900250,Prisca,DeRose,Cazzano Di Tramigna,s900250@students.politu.it,09/04/1994,ZD18890366
900251,Liberata,Greece,Caprese Michelangelo,s900251@students.politu.it,10/04/1994,DE4530340
900252,Augusto,Nucci,Marebbe,s900252@students.politu.it,11/04/1994,NV50078342
900253,Nazzareno,Manfrin,Minerbio,s900253@students.politu.it,02/05/1994,MF58290298
900254,Nicodemo,Arcuri,Coronata,s900254@students.politu.it,02/05/1994,AF92891381
900255,Petronilla,Trevisan,Caramagna Ligure,s900255@students.politu.it,05/05/1994,MA72428788
900256,Ferdinanda,Lori,Amaseno,s900256@students.politu.it,09/05/1994,FX89861198
900257,Manlio,Genovese,Stra,s900257@students.politu.it,11/05/1994,BM7286613
900258,Alma,Ferrari,Sellero,s900258@students.politu.it,01/06/1994,IL60911901
900259,Livio,Trevisani,Corpolo,s900259@students.politu.it,03/06/1994,PG52267694
900260,Sergio,Gallo,Coreggia,s900260@students.politu.it,03/06/1994,FI69991711
900261,Irma,Pirozzi,Laurino,s900261@students.politu.it,06/06/1994,RZ2827770
900262,Giorgio,Lombardi,Ferrazzano,s900262@students.politu.it,06/06/1994,CT79278508
900263,Clotilde,Dellucci,Grottarossa,s900263@students.politu.it,08/06/1994,QH53776496
900264,Secondo,Calabresi,Campertogno,s900264@students.politu.it,08/06/1994,RF27765190
900265,Concetta,Panicucci,Bicocca Di Novara,s900265@students.politu.it,08/06/1994,EZ3696362
900266,Antonia,Napolitano,Trevignano,s900266@students.politu.it,09/06/1994,PV63752998
900267,Manuele,Davide,Chiaramonti,s900267@students.politu.it,09/06/1994,BP16921036
900268,Imelda,Piccio,Torri In Sabina,s900268@students.politu.it,11/06/1994,FH78046573
900269,Augusto,Milani,Castelfranco Veneto,s900269@students.politu.it,01/07/1994,AQ1409390
900270,Cristian,Dellucci,Ivica,s900270@students.politu.it,01/07/1994,QI68751824
900271,Susanna,Bruno,Villore,s900271@students.politu.it,02/07/1994,CS75315256
900272,Virgilia,Mazzi,Rapolla,s900272@students.politu.it,04/07/1994,ZV52784695
900273,Olinto,Pisani,La Villa,s900273@students.politu.it,04/07/1994,KZ60256519
900274,Aloisio,Padovesi,San Lorenzo Isontino,s900274@students.politu.it,07/07/1994,GE99370928
900275,Piera,Piccio,Funes,s900275@students.politu.it,12/07/1994,JE90640675
900276,Aurora,Loggia,Scafa,s900276@students.politu.it,01/08/1994,XO91429736
900277,Fulvio,Marchesi,Ovodda,s900277@students.politu.it,01/08/1994,FT96648892
900278,Dalia,Moretti,Acquaviva Collecroce,s900278@students.politu.it,01/08/1994,VT2659838
900279,Amina,Angelo,Nuvolato,s900279@students.politu.it,02/08/1994,KB61070813
900280,Loredana,Sagese,Grottolella,s900280@students.politu.it,06/08/1994,EI42834520
900281,Abelardo,Zetticci,Casale Litta,s900281@students.politu.it,06/08/1994,JD76070115
900282,Maddalena,Lucchese,Picerno,s900282@students.politu.it,09/08/1994,BG82424287
900283,Prisco,Beneventi,Morciano Di Romagna,s900283@students.politu.it,09/08/1994,UR54450364
900284,Loredana,Toscani,Manocalzati,s900284@students.politu.it,11/08/1994,YH16331059
900285,Rebecca,Trevisano,Celle Ligure,s900285@students.politu.it,02/09/1994,EV87164052
900286,Graziella,Bruno,Armungia,s900286@students.politu.it,02/09/1994,YM82923918
900287,Morgana,Capon,Fornazzo,s900287@students.politu.it,03/09/1994,RI98977845
900288,Carla,Lori,San Maurizio D'Opaglio,s900288@students.politu.it,04/09/1994,XM42452152
900289,Alfredina,Esposito,Surdo,s900289@students.politu.it,07/09/1994,VH85524141
900290,Francesco,Lombardi,San Lorenzo Di Vasto,s900290@students.politu.it,08/09/1994,UQ86555151
900291,Quintino,Milano,Nespoli,s900291@students.politu.it,09/09/1994,DJ61661091
900292,Alvaro,Marcelo,Bousson,s900292@students.politu.it,12/09/1994,OR19032997
900293,Edilio,Sal,Badia Cantignano,s900293@students.politu.it,01/10/1994,BF59026105
900294,Lara ,Fallaci,Ussana,s900294@students.politu.it,02/10/1994,PY51900522
900295,Vincenzo,Capon,Preganziol,s900295@students.politu.it,03/10/1994,WS25261172
900296,Rosetta,Calabresi,Camposano,s900296@students.politu.it,06/10/1994,VO95228126
900297,Sabrina,DeRose,Oliva Gessi,s900297@students.politu.it,07/10/1994,RH98227382
900298,Liberata,Nucci,Mamoiada,s900298@students.politu.it,07/10/1994,JA99632611
900299,Susanna,Zito,Baselice,s900299@students.politu.it,08/10/1994,PJ83161777
900300,Batilda,Romani,Savorgnano Del Torre,s900300@students.politu.it,08/10/1994,QJ43985507
900301,Gerardino,Palermo,Buia,s900301@students.politu.it,12/10/1994,BG10921486
900302,Demetria,Longo,San Martino Di Acquasanta,s900302@students.politu.it,04/11/1994,TB65242387
900303,Leonardo,Lucchesi,Ghirlanda,s900303@students.politu.it,07/11/1994,AX16096816
900304,Ines,Ferrari,Carpane,s900304@students.politu.it,07/11/1994,OF81041136
900305,Crescenzo,Milani,Forni Avoltri,s900305@students.politu.it,08/11/1994,RO88798941
900306,Artemisia,Schiavone,Albaro,s900306@students.politu.it,08/11/1994,NK90777338
